index,time,minutes,dateTime,SPD33.CH1_Voltage,SPD33.CH1_Current,SPD33.CH1_Power,SPD33.CH2_Voltage,SPD33.CH2_Current,SPD33.CH2_Power,,cpuload
280,84.036,1.4006,1758020256,5,0.51,2.55,0,0,0,-1,0
281,84.336,1.4056,1758020256,5,0.51,2.55,0,0,0,-1,0
282,84.636,1.4106,1758020257,5,0.51,2.55,0,0,0,-1,0
283,84.936,1.4156,1758020257,5,0.51,2.55,0,0,0,-1,0
284,85.234,1.420566667,1758020257,5,0.51,2.55,0,0,0,-1,0
285,85.532,1.425533333,1758020258,5,0.51,2.55,0,0,0,-1,0
286,85.832,1.430533333,1758020258,5,0.51,2.55,0,0,0,-1,0
287,86.136,1.4356,1758020258,5,0.51,2.55,0,0,0,-1,0
288,86.436,1.4406,1758020259,5,0.51,2.55,0,0,0,-1,0
289,86.732,1.445533333,1758020259,5,0.51,2.55,0,0,0,-1,0
290,87.036,1.4506,1758020259,5,0.5,2.5,0,0,0,-1,0
291,87.336,1.4556,1758020259,5,0.51,2.55,0,0,0,-1,0
292,87.636,1.4606,1758020260,5,0.5,2.5,0,0,0,-1,0
293,87.934,1.465566667,1758020260,5,0.5,2.5,0,0,0,-1,0
294,88.236,1.4706,1758020260,5,0.51,2.55,0,0,0,-1,0
295,88.536,1.4756,1758020261,5,0.5,2.5,0,0,0,-1,0
296,88.835,1.480583333,1758020261,5,0.51,2.55,0,0,0,-1,0
297,89.136,1.4856,1758020261,5,0.5,2.5,0,0,0,-1,0
298,89.432,1.490533333,1758020262,5,0.51,2.55,0,0,0,-1,0
299,89.735,1.495583333,1758020262,5,0.51,2.55,0,0,0,-1,0
300,90.036,1.5006,1758020262,5,0.51,2.55,0,0,0,-1,0
301,90.332,1.505533333,1758020262,5,0.51,2.55,0,0,0,-1,"ends 00, 20 sec"
302,90.635,1.510583333,1758020263,5,0.51,2.55,0,0,0,1,"starts 00, 80 sec"
303,90.936,1.5156,1758020263,5,0.51,2.55,0,0,0,1,0
304,91.232,1.520533333,1758020263,5,0.51,2.55,0,0,0,1,0
305,91.533,1.52555,1758020264,5,0.51,2.55,0,0,0,1,0
306,91.836,1.5306,1758020264,5,0.51,2.55,0,0,0,1,0
307,92.135,1.535583333,1758020264,5,0.5,2.5,0,0,0,1,0
308,92.434,1.540566667,1758020265,5,0.5,2.5,0,0,0,1,0
309,92.731,1.545516667,1758020265,5,0.51,2.55,0,0,0,1,0
310,93.032,1.550533333,1758020265,5,0.5,2.5,0,0,0,1,0
311,93.332,1.555533333,1758020265,5,0.51,2.55,0,0,0,1,0
312,93.636,1.5606,1758020266,5,0.5,2.5,0,0,0,1,0
313,93.936,1.5656,1758020266,5,0.51,2.55,0,0,0,1,0
314,94.232,1.570533333,1758020266,5,0.51,2.55,0,0,0,1,0
315,94.533,1.57555,1758020267,5,0.51,2.55,0,0,0,1,0
316,94.834,1.580566667,1758020267,5,0.51,2.55,0,0,0,1,0
317,95.134,1.585566667,1758020267,5,0.51,2.55,0,0,0,1,0
318,95.436,1.5906,1758020268,5,0.51,2.55,0,0,0,1,0
319,95.735,1.595583333,1758020268,5,0.51,2.55,0,0,0,1,0
320,96.034,1.600566667,1758020268,5,0.51,2.55,0,0,0,1,0
321,96.333,1.60555,1758020268,5,0.51,2.55,0,0,0,1,0
322,96.636,1.6106,1758020269,5,0.51,2.55,0,0,0,1,0
323,96.935,1.615583333,1758020269,5,0.51,2.55,0,0,0,1,0
324,97.234,1.620566667,1758020269,5,0.51,2.55,0,0,0,1,0
