index,time,minutes,dateTime,SPD33.CH1_Voltage,SPD33.CH1_Current,SPD33.CH1_Power,SPD33.CH2_Voltage,SPD33.CH2_Current,SPD33.CH2_Power,,cpuload
311,93.318,1.5553,1758013623,5,0.44,2.2,0,0,0,-1,"end 00, 20 sec"
312,93.616,1.560266667,1758013623,5,0.39,1.95,0,0,0,1,"start 00, 80 sec"
313,93.914,1.565233333,1758013624,5,0.39,1.95,0,0,0,1,0
314,94.217,1.570283333,1758013624,5,0.39,1.95,0,0,0,1,0
315,94.515,1.57525,1758013624,5,0.38,1.9,0,0,0,1,0
316,94.819,1.580316667,1758013624,5,0.39,1.95,0,0,0,1,0
317,95.119,1.585316667,1758013625,5,0.39,1.95,0,0,0,1,0
318,95.416,1.590266667,1758013625,5,0.39,1.95,0,0,0,1,0
319,95.719,1.595316667,1758013625,5,0.38,1.9,0,0,0,1,0
320,96.015,1.60025,1758013626,5,0.39,1.95,0,0,0,1,0
321,96.318,1.6053,1758013626,5,0.39,1.95,0,0,0,1,0
322,96.615,1.61025,1758013626,5,0.39,1.95,0,0,0,1,0
323,96.916,1.615266667,1758013627,5,0.39,1.95,0,0,0,1,0
324,97.216,1.620266667,1758013627,5,0.38,1.9,0,0,0,1,0
325,97.514,1.625233333,1758013627,5,0.39,1.95,0,0,0,1,0
326,97.819,1.630316667,1758013627,5,0.39,1.95,0,0,0,1,0
327,98.119,1.635316667,1758013628,5,0.39,1.95,0,0,0,1,0
328,98.418,1.6403,1758013628,5,0.38,1.9,0,0,0,1,0
329,98.715,1.64525,1758013628,5,0.38,1.9,0,0,0,1,0
330,99.018,1.6503,1758013629,5,0.39,1.95,0,0,0,1,0
331,99.319,1.655316667,1758013629,5,0.39,1.95,0,0,0,1,0
332,99.616,1.660266667,1758013629,5,0.38,1.9,0,0,0,1,0
333,99.917,1.665283333,1758013630,5,0.39,1.95,0,0,0,1,0
334,100.218,1.6703,1758013630,5,0.39,1.95,0,0,0,1,0
335,100.519,1.675316667,1758013630,5,0.39,1.95,0,0,0,1,0
336,100.819,1.680316667,1758013630,5,0.39,1.95,0,0,0,1,0
337,101.119,1.685316667,1758013631,5,0.38,1.9,0,0,0,1,0
338,101.419,1.690316667,1758013631,5,0.39,1.95,0,0,0,1,0
339,101.717,1.695283333,1758013631,5,0.38,1.9,0,0,0,1,0
340,102.014,1.700233333,1758013632,5,0.38,1.9,0,0,0,1,0
341,102.319,1.705316667,1758013632,5,0.38,1.9,0,0,0,1,0
342,102.615,1.71025,1758013632,5,0.38,1.9,0,0,0,1,0
343,102.918,1.7153,1758013633,5,0.39,1.95,0,0,0,1,0
344,103.218,1.7203,1758013633,5,0.38,1.9,0,0,0,1,0
345,103.514,1.725233333,1758013633,5,0.39,1.95,0,0,0,1,0
346,103.818,1.7303,1758013633,5,0.39,1.95,0,0,0,1,0
347,104.115,1.73525,1758013634,5,0.39,1.95,0,0,0,1,0
348,104.418,1.7403,1758013634,5,0.39,1.95,0,0,0,1,0
349,104.719,1.745316667,1758013634,5,0.39,1.95,0,0,0,1,0
350,105.018,1.7503,1758013635,5,0.39,1.95,0,0,0,1,0
351,105.318,1.7553,1758013635,5,0.39,1.95,0,0,0,1,0
352,105.616,1.760266667,1758013635,5,0.39,1.95,0,0,0,1,0
353,105.918,1.7653,1758013636,5,0.39,1.95,0,0,0,1,0
354,106.219,1.770316667,1758013636,5,0.38,1.9,0,0,0,1,0
355,106.516,1.775266667,1758013636,5,0.39,1.95,0,0,0,1,0
356,106.818,1.7803,1758013636,5,0.39,1.95,0,0,0,1,0
357,107.118,1.7853,1758013637,5,0.39,1.95,0,0,0,1,0
358,107.418,1.7903,1758013637,5,0.39,1.95,0,0,0,1,0
359,107.714,1.795233333,1758013637,5,0.38,1.9,0,0,0,1,0
360,108.015,1.80025,1758013638,5,0.39,1.95,0,0,0,1,0
361,108.316,1.805266667,1758013638,5,0.39,1.95,0,0,0,1,0
362,108.614,1.810233333,1758013638,5,0.39,1.95,0,0,0,1,0
363,108.915,1.81525,1758013639,5,0.38,1.9,0,0,0,1,0
364,109.219,1.820316667,1758013639,5,0.38,1.9,0,0,0,1,0
365,109.518,1.8253,1758013639,5,0.38,1.9,0,0,0,1,0
366,109.815,1.83025,1758013639,5,0.39,1.95,0,0,0,1,0
367,110.119,1.835316667,1758013640,5,0.39,1.95,0,0,0,1,0
368,110.418,1.8403,1758013640,5,0.39,1.95,0,0,0,1,0
369,110.716,1.845266667,1758013640,5,0.39,1.95,0,0,0,1,0
370,111.017,1.850283333,1758013641,5,0.39,1.95,0,0,0,1,0
