,period,load,exp_duration,experiment,duration,energy,power_avg,ID
682,0.05,40,80022,stress-ng,80.02,279.542199999992,3.49340414896266,930
683,0.05,80,80037,stress-ng,80.032,314.2031999999975,3.9259696121551064,969
684,0.05,20,80023,stress-ng,80.013,263.2537499999977,3.2901372277004697,973
685,0.1,20,80022,stress-ng,80.019,260.71472500000516,3.258160249440822,11
686,0.1,80,80034,stress-ng,80.01,312.65614999999696,3.9077134108236087,13
687,0.1,60,80042,stress-ng,80.031,296.12519999999967,3.700131199160321,16
688,0.1,40,80098,stress-ng,80.09,278.3260249999897,3.4751657510299627,17
689,0.1,0,80025,stress-ng,80.025,188.62215000000666,2.3570402999063624,39
690,0.1,80,80034,stress-ng,80.027,313.06299999999925,3.911967211066256,45
691,0.1,100,80023,stress-ng,80.014,327.89910000000197,4.098021596220686,52
692,0.1,0,80025,stress-ng,80.018,188.630650000006,2.3573527206379317,59
693,0.1,60,80022,stress-ng,80.006,297.83372499999865,3.7226423643226587,76
694,0.1,60,80029,stress-ng,80.022,297.04484999999426,3.7120398140510638,80
695,0.1,20,80023,stress-ng,80.019,262.07429999999783,3.2751509016608282,81
696,0.1,20,80023,stress-ng,80.018,262.1577249999993,3.276234409757796,90
697,0.1,40,80023,stress-ng,80.017,278.5375249999967,3.480979354387152,100
698,0.1,40,80023,stress-ng,80.017,278.71752499999343,3.483228876363691,103
699,0.1,20,80022,stress-ng,80.017,261.53222499999293,3.268458265118574,107
700,0.1,0,80027,stress-ng,80.018,188.27947500000715,2.3529640205954556,145
701,0.1,40,80023,stress-ng,80.016,278.1965749999914,3.4767618351328657,153
702,0.1,0,80025,stress-ng,80.019,188.29187500000677,2.3530895787251374,155
703,0.1,100,80029,stress-ng,80.023,327.84450000000453,4.096878397460787,214
704,0.1,80,80033,stress-ng,80.026,312.7418749999947,3.908003336415599,223
705,0.1,20,80023,stress-ng,80.017,260.775849999999,3.2590055863128966,225
706,0.1,60,80062,stress-ng,80.055,297.97814999999173,3.722167884579248,231
707,0.1,60,80043,stress-ng,80.034,298.2332249999926,3.7263316215607443,248
708,0.1,100,80026,stress-ng,80.025,328.02352500000194,4.099013120899743,251
709,0.1,40,80049,stress-ng,80.039,278.0241999999891,3.4736091155560302,271
710,0.1,60,80053,stress-ng,80.045,296.3051249999929,3.701731838340845,277
711,0.1,100,80026,stress-ng,80.024,328.020899999999,4.099031540537826,280
712,0.1,40,80022,stress-ng,80.017,277.86257499999084,3.472544271842119,291
713,0.1,0,80027,stress-ng,80.023,188.40127500000557,2.354339065018877,344
714,0.1,100,80025,stress-ng,80.018,327.9336250000012,4.098248206653518,372
715,0.1,20,80205,stress-ng,80.198,261.6688499999979,3.2627852315518835,403
716,0.1,100,80022,stress-ng,80.016,327.8051250000044,4.096744713557343,424
717,0.1,80,80027,stress-ng,79.996,313.04637499999455,3.9132753512674956,459
718,0.1,60,80054,stress-ng,80.048,295.9128499999911,3.6966926094342285,460
719,0.1,80,80034,stress-ng,80.025,312.7593250000023,3.908270228053762,511
720,0.1,80,80038,stress-ng,80.03,312.3849499999937,3.9033481194551256,513
721,0.1,60,80023,stress-ng,80.011,296.87694999999525,3.7104516878928555,517
722,0.1,0,80025,stress-ng,80.021,188.97107500000496,2.361518538883605,520
723,0.1,0,80026,stress-ng,80.013,188.47827500000656,2.3555956532064357,527
724,0.1,40,80023,stress-ng,79.996,278.55307499998924,3.4820875418769597,546
725,0.1,40,80022,stress-ng,80.014,278.329549999992,3.478510635638664,564
726,0.1,20,80075,stress-ng,80.072,262.15987500000307,3.274051790888239,595
727,0.1,100,80023,stress-ng,80.02,327.795500000003,4.0964196450887655,604
728,0.1,80,80033,stress-ng,80.012,312.41872499999505,3.9046483652451514,623
729,0.1,0,80026,stress-ng,80.023,188.53765000000558,2.3560432625620833,627
730,0.1,100,80023,stress-ng,80.019,328.0322500000051,4.099429510491322,630
731,0.1,100,80026,stress-ng,80.018,328.60622500000704,4.106653815391625,699
732,0.1,40,80022,stress-ng,80.017,277.7178249999915,3.4707352812526273,720
733,0.1,20,80023,stress-ng,80.018,262.0397499999967,3.2747600539878112,721
734,0.1,60,80053,stress-ng,80.046,297.2119999999963,3.713015016365543,740
735,0.1,0,80026,stress-ng,80.02,188.30292500000735,2.353198262934358,759
736,0.1,0,80025,stress-ng,80.015,188.44997500000784,2.355183090670597,762
