,period,exp_duration,experiment,duration,energy,power_avg,ID
257,0.05,80022,stress-ng,80.015,297.7452999999924,3.721118540273604,278
258,0.05,80036,stress-ng,80.031,313.48424999999577,3.917035273831337,275
259,0.05,80022,stress-ng,79.996,262.25205000000045,3.278314540727042,392
260,0.05,80025,stress-ng,80.019,189.22130000000493,2.3647046326498073,315
261,0.05,80039,stress-ng,80.033,298.04617499999495,3.724041020578948,282
262,0.05,80022,stress-ng,80.018,298.0946249999925,3.7253446099626646,519
263,0.05,80022,stress-ng,80.014,279.38399999999115,3.4916889544328638,432
264,0.05,80023,stress-ng,80.019,313.87689999999753,3.9225296492082817,117
265,0.05,80026,stress-ng,80.018,189.7032250000022,2.3707568921992825,157
266,0.05,80024,stress-ng,80.017,329.5622250000121,4.1186525988229015,64
267,0.05,80024,stress-ng,80.02,329.4693000000069,4.117336915771144,207
268,0.05,80039,stress-ng,80.033,280.5417249999901,3.5053256156834065,580
269,0.05,80099,stress-ng,80.095,279.6581249999949,3.491580310880766,202
270,0.05,80037,stress-ng,80.03,314.53209999999797,3.930177433462426,126
271,0.05,80023,stress-ng,80.019,279.31012499999645,3.4905475574550597,552
272,0.05,80022,stress-ng,80.015,262.5382499999988,3.2811129163281736,32
273,0.05,80032,stress-ng,80.03,329.9122500000038,4.122357241034659,534
274,0.05,80024,stress-ng,80.02,329.9226250000039,4.123002061984553,139
275,0.05,80023,stress-ng,80.02,263.0682500000002,3.2875312421894556,33
276,0.05,80021,stress-ng,80.013,280.8623999999917,3.510209590941368,142
277,0.05,80022,stress-ng,80.016,262.5409499999993,3.2811056538692176,182
278,0.05,80028,stress-ng,80.022,313.8454499999937,3.921989577866008,176
279,0.05,80023,stress-ng,80.02,280.3678499999952,3.5037221944513273,174
280,0.05,80023,stress-ng,80.017,329.59945000000766,4.119117812464947,549
281,0.05,80026,stress-ng,80.02,189.57495000000114,2.3690946013496768,585
282,0.05,80022,stress-ng,80.015,299.1778499999963,3.7390220583640104,54
283,0.05,80035,stress-ng,80.032,313.7369749999992,3.9201441298480506,26
284,0.05,80022,stress-ng,80.02,279.542199999992,3.49340414896266,67
285,0.05,80025,stress-ng,80.022,329.30155000000644,4.115137712129244,545
286,0.05,80022,stress-ng,80.017,263.5736499999992,3.29397065623554,3
287,0.05,80070,stress-ng,80.065,280.1134999999941,3.4985761568724674,94
288,0.05,80024,stress-ng,80.018,189.4429750000022,2.3675044989877554,108
289,0.05,80025,stress-ng,80.019,188.57255000000632,2.356597183169076,90
290,0.05,80026,stress-ng,80.018,262.2355499999979,3.277207003424203,4
291,0.05,80022,stress-ng,80.014,313.83817499999645,3.9222907866122987,21
292,0.05,80022,stress-ng,80.004,329.48737500000993,4.118386268186715,592
293,0.05,80022,stress-ng,80.021,298.5819749999887,3.731295222503951,563
294,0.05,80021,stress-ng,80.016,263.0712249999986,3.287732765946793,69
295,0.05,80033,stress-ng,80.03,313.8648750000003,3.9218402474072263,503
296,0.05,80023,stress-ng,80.019,280.3180499999983,3.5031436283882367,91
297,0.05,80023,stress-ng,80.013,263.2537499999977,3.2901372277004697,73
298,0.05,80025,stress-ng,80.018,329.61097500000204,4.119210365167863,595
299,0.05,80026,stress-ng,80.018,330.1299000000145,4.125695468519765,97
300,0.1,80026,stress-ng,80.023,188.53765000000558,2.3560432625620833,145
